,holland,dennis,dushku,soares,gerard,eyring,bednar,feo,nielson,alonso,gong,nelson1,cook,bowen,bangerter,spannaus,carpenter,uchtdorf,rasband,porter,renlund,pieper,kearon,taylor,oaks,christofferson,godoy,stevenson,held,andersen,pace,nelson
accuse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043490643609607436,0.0,0.0,0.0,0.0
accustomed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043902091354420726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ache,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046486351742089524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
achieve,0.0,0.0,0.0,0.043208038269866585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03663567128404036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04044193256934041,0.0,0.04635809664524988,0.0,0.0,0.0,0.0,0.0
acknowledge,0.0,0.0,0.038914580184525496,0.0,0.0,0.0,0.0,0.0,0.0,0.07224350348428374,0.05974615465166449,0.0,0.0,0.0,0.0,0.0,0.0,0.05860529023744634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acknowledgment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043490643609607436,0.0,0.0,0.0,0.0
acquaintance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06107111000036774,0.0,0.0,0.0,0.0,0.0
acquire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05142808307909972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03850388221476701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04376508357041625
act,0.0,0.0,0.0,0.023228341139589034,0.04010423205699822,0.023482702184184242,0.021481907948030343,0.07971587322565171,0.040338767362518554,0.022938115439503675,0.0321191175901028,0.052665712593733954,0.03648378407639126,0.0,0.0,0.025663807222634182,0.019695082316593285,0.018607831126636977,0.020516713624690323,0.0,0.0,0.04120889402181806,0.0,0.0,0.0,0.03427967880929549,0.0,0.0,0.04316799303546473,0.0,0.021361581988063788,0.0
acting,0.05811049131824634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
action,0.0,0.04792680096996757,0.0,0.03140794338396892,0.06721233885076446,0.0,0.029046523148458722,0.0,0.0,0.0,0.0,0.02728992239305013,0.0,0.0,0.0,0.0,0.0,0.0,0.027741446368338384,0.0,0.02422422783734662,0.0,0.0,0.0,0.0,0.0,0.0707184541226371,0.023997199839225616,0.034473743817159536,0.0,0.0,0.0
actively,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04153057796654005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03885423350201199,0.0,0.0,0.0,0.0
activity,0.0,0.0,0.0,0.0,0.0,0.0,0.04702967014455761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03885423350201199,0.0,0.0,0.0,0.0
actually,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03305862673985478,0.0,0.030295880599247385,0.0,0.0,0.04472362524220959,0.0,0.0,0.0,0.0,0.0,0.0,0.040317464137823944,0.0,0.0,0.0,0.0,0.0,0.0,0.03400761549516266,0.0,0.0
acute,0.05811049131824634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adam,0.0,0.04583122943568022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0791821346454195,0.0
add,0.0,0.0,0.02503642266142266,0.0,0.02834665194280481,0.0281031077582074,0.0613483864478519,0.0,0.028512427232166678,0.0,0.02270257776642269,0.0,0.0,0.0,0.0,0.05200224277638493,0.02357024401658372,0.0,0.0,0.0,0.0,0.0,0.0,0.05487260283335775,0.0,0.063225937636611,0.0,0.0,0.03051219312482035,0.0,0.025564640550637438,0.026136942835879858
addition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038059821455776494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04432422122007743,0.0,0.0,0.0,0.0,0.0,0.0
additional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03332537093110916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047425672669726304,0.036299999550343534,0.0,0.0406251392828743
address,0.0,0.0,0.0,0.0,0.0,0.040922672269515084,0.0,0.0,0.0,0.06768124845593047,0.0,0.03517198766465922,0.0,0.0,0.0,0.0,0.0,0.0,0.035753923936239856,0.0,0.0,0.0,0.0,0.0,0.0,0.059738272470271594,0.0,0.0,0.0,0.0,0.0,0.0
adequately,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043902091354420726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjoining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047820799946053955,0.0,0.0
adjust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050649641346730515,0.0,0.0,0.0,0.0,0.0,0.09450633892352248,0.0,0.0,0.0
adjustment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050217699725156564,0.0,0.04418553097924995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
administer,0.0,0.0,0.0,0.0,0.0,0.051409946476673525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09988881026559643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
administration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04260143571466291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
admonish,0.0,0.0,0.0,0.0,0.0,0.0,0.05264164130862176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
admonition,0.04752008725861445,0.0,0.0,0.0,0.0,0.0,0.04304791323691532,0.0,0.0,0.0,0.0,0.0,0.034837494858133804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adopt,0.0,0.0,0.0,0.05085308178598228,0.0,0.0,0.0,0.0,0.0,0.050217699725156564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059551351749106925,0.0,0.0,0.04207533268160015,0.04472362524220959,0.0,0.0,0.035753923936239856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03400761549516266,0.0,0.0
adultery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05669357756474663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04153057796654005,0.04418553097924995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
